pChEMBL Value,Canomicalsmiles
1.0,COc1cc(C(=O)c2cccc(-c3cccc(O)c3)n2)cc(OC)c1OC
1.0,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
0.0,COc1ccc(-c2ccc3nnc(-c4cc(OC)c(OC)c(OC)c4)n3n2)cc1[N+](=O)[O-]
0.0,COc1ccc2[nH]cc(C=C3SC(=NCc4ccc(O)cc4)NC3=O)c2c1
1.0,COc1ccc2c(C(C)c3cc(C)nc4ccccc34)c[nH]c2c1
1.0,O=C1CN(c2ccc(S(=O)(=O)Oc3cccc(Cl)c3)cc2)C(=O)N1
1.0,COC1=CC(=O)N(C(=O)[C@@H](OC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@H]1Cc1ccccc1
0.0,COc1cc(OC)cc(N2CCN(C(=O)c3nnnn3-c3ccc(Br)cc3)CC2)c1
0.0,CC(C)(C)c1nc(Nc2ccccc2)sc1Cc1cc2ccccc2[nH]c1=O
1.0,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
0.0,COc1ccc(/C=C/c2cc(OC)cc(OC)c2COC(=O)/C=C/c2ccc(OC)c(OC)c2OC)cc1
0.0,COC(=O)c1coc(-c2nc3oc2[C@@]2(C(C)C)C(=O)Nc4ccc(cc42)C[C@H](NC(=O)[C@@H](O)C(C)C)C(=O)N[C@H]3C(C)(C)C)n1
0.0,CCC1=C[C@@H]2CN(CCc3c([nH]c4c(I)cccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
0.0,CCOC(=O)CNC(=O)Nc1ccc(S(=O)(=O)Oc2cc(OC)c(OC)c(OC)c2)cc1
0.0,Cn1cc(C=C2SC(=NCc3ccc(F)cc3)NC2=O)c2ccccc21
0.0,COc1cc(/C=C/c2cc(Nc3ccc(Oc4ccccc4)cc3)c3c(OC)c(OC)c(OC)cc3n2)cc(OC)c1OC
0.0,C[C@]12CC[C@@H]3c4ccc(OCCCC(=O)Nc5ccccc5N)cc4CC[C@H]3[C@@H]1CC[C@@H]2OS(N)(=O)=O
1.0,COc1cc(OC)cc(N2CCN(C(=O)c3nnnn3-c3cccc(C)c3)CC2)c1
0.0,COc1cc(-n2cccc2-c2cc(C)c(OC)c(C)c2)cc(OC)c1OC
0.0,COc1ccc(C2=NNC(=O)N(c3cc(OC)cc(OC)c3)C2)cc1
0.0,CCSc1ncc(/C=C/C(=O)c2ccc(Br)cc2)n1Cc1ccccc1
0.0,COc1ccc(/C=C/C(=O)c2ccccc2-c2cccc(F)c2)cc1/C=C/C(=O)O
1.0,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O
0.0,COc1ccc(C(=O)/C=C/c2cc(N)ccc2O)c(OC)c1OC
0.0,COc1ccc([C@@H]2[C@@H](Cl)C(=O)N2c2cc(OC)c(OC)c(OC)c2)cc1[N+](=O)[O-]
1.0,COc1cc(N2C(=O)[C@H](Cl)[C@H]2c2ccc(Br)cc2)cc(OC)c1OC
0.0,CCc1ccc(-c2cccn2-c2cc(OC)c(OC)c(OC)c2)cc1
0.0,COC(=O)NCCc1c(C(=O)c2c(F)cccc2F)[nH]c2ccccc12
